any_,mes,pct_buida,pct_plena,pct_problema,periode
2022,1,5.1,2.54,7.69,2022-01
2022,2,8.0,4.14,12.16,2022-02
2022,3,8.65,3.25,11.93,2022-03
2022,4,10.99,3.77,14.76,2022-04
2022,5,16.37,4.49,20.88,2022-05
2022,6,20.08,4.16,24.3,2022-06
2022,7,24.03,3.46,27.52,2022-07
2022,8,10.62,3.27,13.9,2022-08
2022,9,18.91,4.82,23.75,2022-09
2022,10,17.58,3.45,21.04,2022-10
2022,11,10.69,3.51,14.21,2022-11
2022,12,6.8,2.59,9.39,2022-12
2023,1,5.53,2.87,8.41,2023-01
2023,2,6.28,3.44,9.76,2023-02
2023,3,9.11,3.84,12.98,2023-03
2023,4,10.23,3.83,14.09,2023-04
2023,5,12.36,4.16,16.56,2023-05
2023,6,18.38,4.83,23.22,2023-06
2023,7,18.47,3.83,22.33,2023-07
2023,8,11.36,3.15,14.52,2023-08
2023,9,16.28,3.1,19.46,2023-09
2023,10,15.69,2.96,18.69,2023-10
2023,11,16.09,3.82,19.92,2023-11
2023,12,6.03,1.6,7.66,2023-12
2024,1,6.39,2.13,8.56,2024-01
2024,2,9.46,2.98,12.46,2024-02
2024,3,8.07,3.19,11.27,2024-03
2024,4,10.83,3.69,14.56,2024-04
2024,5,11.82,3.88,15.76,2024-05
2024,6,13.92,4.26,18.23,2024-06
2024,7,16.44,4.16,20.63,2024-07
2024,8,10.96,3.68,14.66,2024-08
2024,9,13.66,5.5,19.18,2024-09
2024,10,13.55,5.35,18.94,2024-10
2024,11,13.12,4.24,17.39,2024-11
2024,12,12.83,2.96,15.82,2024-12
2025,1,14.3,1.13,15.52,2025-01
2025,2,14.22,1.54,15.81,2025-02
2025,3,15.92,2.26,18.23,2025-03
2025,4,19.49,2.71,22.23,2025-04
2025,5,19.78,3.85,23.72,2025-05
2025,6,19.61,4.0,23.67,2025-06
2025,7,18.22,5.27,23.57,2025-07
2025,8,12.91,5.08,18.03,2025-08
2025,9,18.34,4.55,22.93,2025-09
