any_,hora_dia,pct_buida,pct_plena
2022,0,12.27,4.13
2022,1,10.49,3.9
2022,2,8.96,3.34
2022,3,7.96,2.79
2022,4,6.91,2.38
2022,5,6.28,1.9
2022,6,5.91,1.54
2022,7,8.84,1.78
2022,8,15.44,3.25
2022,9,18.07,5.72
2022,10,17.04,6.21
2022,11,16.8,5.58
2022,12,15.68,4.69
2022,13,14.53,3.63
2022,14,13.77,3.08
2022,15,13.03,3.54
2022,16,14.53,3.72
2022,17,16.36,3.39
2022,18,18.75,3.26
2022,19,18.53,3.58
2022,20,17.18,3.6
2022,21,14.43,3.77
2022,22,12.25,3.91
2022,23,12.44,4.04
2023,0,11.23,3.63
2023,1,9.39,3.25
2023,2,7.84,2.65
2023,3,6.82,2.11
2023,4,5.93,1.83
2023,5,5.38,1.47
2023,6,5.18,1.39
2023,7,8.07,1.93
2023,8,14.65,3.38
2023,9,17.0,5.61
2023,10,16.05,6.03
2023,11,15.88,5.48
2023,12,14.84,4.71
2023,13,13.66,3.74
2023,14,12.92,3.24
2023,15,12.42,3.63
2023,16,13.76,3.65
2023,17,15.35,3.31
2023,18,17.19,3.21
2023,19,16.85,3.52
2023,20,15.68,3.6
2023,21,13.33,3.79
2023,22,11.38,3.76
2023,23,11.48,3.69
2024,0,10.63,4.25
2024,1,8.82,4.11
2024,2,7.45,3.71
2024,3,6.48,3.17
2024,4,5.69,2.73
2024,5,5.2,2.06
2024,6,4.95,1.76
2024,7,7.47,2.07
2024,8,13.83,3.54
2024,9,15.92,5.87
2024,10,14.87,6.39
2024,11,14.79,5.92
2024,12,14.27,5.15
2024,13,13.56,4.07
2024,14,13.26,3.5
2024,15,12.79,3.78
2024,16,14.17,3.84
2024,17,15.89,3.56
2024,18,17.52,3.5
2024,19,16.41,3.66
2024,20,14.87,3.72
2024,21,12.21,3.83
2024,22,10.52,3.88
2024,23,11.05,4.03
2025,0,15.44,3.88
2025,1,13.23,3.82
2025,2,11.8,3.5
2025,3,10.85,3.17
2025,4,10.06,2.88
2025,5,9.62,2.37
2025,6,9.11,1.99
2025,7,12.17,1.93
2025,8,18.94,2.87
2025,9,20.85,4.48
2025,10,19.82,5.0
2025,11,20.24,4.76
2025,12,19.54,4.18
2025,13,18.91,3.51
2025,14,18.74,3.23
2025,15,18.06,3.42
2025,16,20.04,3.45
2025,17,22.42,3.27
2025,18,24.41,3.13
2025,19,23.21,3.27
2025,20,21.16,3.3
2025,21,17.71,3.41
2025,22,15.32,3.62
2025,23,15.86,3.71
