hora,RF,HA,SN7
0,82.60759461214992,45.80416021501612,52.77968344565323
1,84.87621989656354,44.6839390681148,52.53110246679298
2,87.17343545277454,42.91213571827237,51.823720385919835
3,88.21571566122657,41.67665591896086,51.2670887327855
4,89.95120839198626,40.59115534953011,49.95900561503206
5,88.3384817048947,39.20862731002529,48.97584537384521
6,84.67321959256662,38.00321009903344,46.53189120583178
7,79.52841236716847,40.09545735527474,48.16413178917523
8,79.5358362972023,47.48650443914564,53.35628603014628
9,81.96813483259805,51.64797298277809,56.31022027424575
10,83.4954011291027,49.70869650822703,55.31850238168191
11,83.38084344782915,47.26090784282573,54.011555612325246
12,82.76483103384592,44.89254241860028,52.51264367649433
13,81.46934848870858,42.97470174535092,50.978994790367885
14,80.37776020631604,42.55694556871805,51.0577444674612
15,80.62158585059028,43.823297643832944,51.50828013521088
16,81.18782224389473,45.575257083450296,52.584863692430176
17,80.73649759465454,46.556084469622036,53.74687807889735
18,79.96166671504233,46.886595349009134,53.04858666954914
19,78.72248099353357,45.261792274293065,51.46944703157291
20,79.09860810530648,45.08142027492145,50.88137198668948
21,79.29185261721518,44.948528903710944,50.615767245018475
22,81.51434348153485,44.40320363113654,50.3201824183713
23,82.49437575405757,44.72932470228212,51.02810698842657
